label,ra,dec,maxval_xindex,maxval_yindex,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,r_petrosian,r_half_light,r_half_light_arcsec,r_total_flux,r_total_flux_arcsec,r20,r80,c2080,f_half_light_f435w,f_half_light_err_f435w,f_total_f435w,f_total_err_f435w,m_half_light_f435w,m_half_light_err_f435w,m_total_f435w,m_total_err_f435w,f_half_light_f606w,f_half_light_err_f606w,f_total_f606w,f_total_err_f606w,m_half_light_f606w,m_half_light_err_f606w,m_total_f606w,m_total_err_f606w,f_half_light_f814w,f_half_light_err_f814w,f_total_f814w,f_total_err_f814w,m_half_light_f814w,m_half_light_err_f814w,m_total_f814w,m_total_err_f814w,f_half_light_f105w,f_half_light_err_f105w,f_total_f105w,f_total_err_f105w,m_half_light_f105w,m_half_light_err_f105w,m_total_f105w,m_total_err_f105w,f_half_light_f125w,f_half_light_err_f125w,f_total_f125w,f_total_err_f125w,m_half_light_f125w,m_half_light_err_f125w,m_total_f125w,m_total_err_f125w,f_half_light_f140w,f_half_light_err_f140w,f_total_f140w,f_total_err_f140w,m_half_light_f140w,m_half_light_err_f140w,m_total_f140w,m_total_err_f140w,f_half_light_f160w,f_half_light_err_f160w,f_total_f160w,f_total_err_f160w,m_half_light_f160w,m_half_light_err_f160w,m_total_f160w,m_total_err_f160w
681,3.4706670766046512,-30.384333303013985,1137,844,1136.2938510316214,843.6289815457819,None,1055,1246,745,940,19465.0,25.136800373130093,22.891578734881442,11.78184529144634,0.41311273048174696,0.0051549533,5.4722714,0.0,1083.5723,nan,1151.0303683543932,nan,54.41088217643529,19.90398079615923,1.1942403759127784,108.82176435287057,6.5293142160457425,6.00120024004801,49.00980196039208,4.560224148224351,5.544728,2.354724612348544,13.546803,3.6805981850780722,23.805785858691856,24.73563616672699,22.83589443660309,24.25069045568261,98.184768,9.908822735320276,204.563609,14.30257350968699,21.513214241947466,24.003269389783902,20.716253594876182,23.604789066248262,189.772512,13.77579442355322,374.164527,19.343332882417137,20.25103917044482,23.09883080337727,19.51396590770499,22.73029417200735,420.678495,20.510448434883134,826.653317,28.751579382705224,19.708942089628625,22.98887997905103,18.97550933667494,22.622163602574187,534.392882,23.116939287025,1036.778199,32.19904034284252,19.41056546176931,22.820391292763684,18.691002482673117,22.46060980321559,764.945024,27.657639523285425,1479.890483,38.46934471757999,19.243241216713052,22.847778996551504,18.526742833153634,22.489529804771795,550.07701,23.45372060036531,1063.552821,32.612157564319475,19.095168468203788,22.520697836155264,18.37932954444036,22.16277837427355
338,3.4800564241059675,-30.379083165219495,651,1159,651.0186431074359,1157.6804867403675,None,584,725,1078,1234,14973.0,17.659943389448085,16.839009611914207,-88.93778543859196,0.3013475833627203,0.005557742,4.610207,0.0,1665.971,nan,1605.2591379907417,nan,36.216843368673736,16.36967393478696,0.9821816928813516,71.86775042513841,4.312070543209361,7.039807961592318,30.70374074814963,3.1981523907854594,119.851879,10.94768829479539,248.383346,15.760182295900005,20.468874356874352,23.06718041581824,19.677680291721103,22.671583383241614,567.020375,23.81218963052327,1137.393278,33.72526171877692,19.609327875436207,23.051326206528273,18.853547894517448,22.673436216068893,525.554517,22.924975834229357,1040.489412,32.25661811163718,19.14507800359972,22.545850219954715,18.40352827331487,22.17507535481229,867.270513,29.449456921987544,1699.255402,41.22202569015744,18.923431416653884,22.59612464256366,18.193171220383945,22.23099454442869,952.248303,30.85852075197384,1857.730783,43.10140117211968,18.78334160531243,22.506779364535248,18.05776017998126,22.14398865186966,1245.377029,35.289899815669635,2428.371497,49.278509484358395,18.714064649164158,22.58319071277706,17.989028959636926,22.22067286801344,829.434982,28.79991288181268,1623.060187,40.287221137725545,18.64927133388788,22.29774926899731,17.920390642068377,21.93330892308756
268,3.4591523733471012,-30.38309923060326,1733,918,1732.6332128489812,918.3154085860923,None,1671,1805,838,1001,10918.0,7.4081878448399,6.798368117129244,81.30407760332777,0.39731334472034424,0.0050396244,337.29218,0.0,6824.9697,nan,6113.8641331821,nan,6.135627125425085,2.3860772154430885,0.14316481611947357,12.27125425085017,0.736276197185864,0.9373874774954991,4.43128625725145,3.3730532923828704,389.517051,19.736186333737326,480.44437,21.91904126552984,19.189170290901586,22.427328382831856,18.96137870339114,22.313432589076633,1263.131868,35.540566512085874,3097.969288,55.659404308705994,18.739702807005507,22.616513672312923,17.765631767553533,22.129478152586938,1354.767744,36.80716973634349,3465.896123,58.871861895136284,18.116960316632095,22.031791376470906,17.097083580673637,21.521853008491675,3789.255761,61.55693105573084,6534.665446,80.83727757662302,17.322433069562607,21.79562546901802,16.730759473485143,21.49978867097929,3816.113464,61.77469922225441,6977.470023,83.53125177441075,17.276163926146133,21.7531905249521,16.620972175447452,21.425594649602758,4762.783806,69.01292491990178,9156.308156,95.68859992705505,17.257664605621784,21.85499069100587,16.548015775263583,21.50016627582677,3028.66858,55.033340621844864,6115.975801,78.20470446846532,17.243097823805364,21.594662513956052,16.480062808165513,21.213145006136124
634,3.483902411470354,-30.39376622954353,452,278,451.01193913655277,278.2471699950951,None,398,501,221,335,8639.0,15.894171654214304,13.98688664690013,73.07042890983374,0.47497186606025116,0.0053489837,2.9059217,0.0,412.27097,nan,418.9170409322199,nan,34.63892778555711,12.856971394278855,0.7714192707604631,69.27785557111422,4.156676653126767,4.43128625725145,32.51690338067613,4.327896872902246,0.69555,0.8339964028699405,2.251744,1.5005812207274887,26.05966558738341,25.86257603107277,24.78418893927289,25.22483770701751,12.472783,3.531682743395845,25.664189,5.065983517541288,23.75341612110652,25.12337032936343,22.97000567534228,24.731665106481312,44.337879,6.658669461686771,84.753556,9.206169453143907,21.829685151701618,23.888153794005664,21.126227613995688,23.536425025152703,143.517629,11.979884348356624,276.135611,16.617328636095515,20.876554741108883,23.57268630479116,20.166011824136135,23.217414846304784,192.365357,13.86958387984297,369.54572,19.223571988576943,20.519899966696965,23.375058545227514,19.81104668191486,23.02063190283646,284.782495,16.875499844449052,547.226229,23.39286705386922,20.31603354992025,23.384175163155103,19.60689951313974,23.02960814476485,210.376929,14.504376201684787,403.448201,20.086020038823023,20.138731926207765,23.04247956515725,19.431757745953128,22.68899247502993
382,3.4623409300274157,-30.376932876886272,1568,1288,1567.579836490688,1287.7091190723713,None,1523,1609,1237,1339,6784.0,11.955402302988354,8.399639485526585,-76.46096745279952,0.7116036981672867,0.0053863847,10.621882,0.0,1002.88043,nan,935.3520801201767,nan,21.22624524904981,8.371674334866974,0.5023011028336661,42.45249049809962,2.547152689208139,3.564712942588518,18.14762952590518,3.5339767092398766,10.754393,3.27938911994292,21.970868,4.687309249452184,23.086521717402494,24.376004096082312,22.31086843758559,23.988177456173858,139.499402,11.810986495631937,269.273182,16.40954545379,21.131893672873304,23.812609105246825,20.41784178154587,23.455583159583107,198.033429,14.07243507712862,377.386898,19.426448414468354,20.204776167665862,23.07569930198779,19.504655390332257,22.725638913320985,398.410882,19.960232513675788,782.932223,27.980926056869528,19.767989888421532,23.01840387844748,19.034507449443318,22.651662658958376,493.536397,22.21567908032523,971.323767,31.166067557521593,19.496919158126495,22.863568140942277,18.76180708507345,22.496012104415758,687.712439,26.224271944136028,1354.98238,36.81008530280798,19.358799577101706,22.905558176745835,18.622482657032766,22.537399716711363,481.666412,21.946899826626993,952.971539,30.870237106313258,19.239361297224775,22.592794250665754,18.498527378113813,22.222377291110277
683,3.4697398002332163,-30.382199949777604,1185,972,1184.5773761820997,970.741008259255,None,1137,1228,919,1016,6481.0,10.85071703094318,10.311160981582297,66.31984879637558,0.3114131506359996,0.0054366686,7.800739,0.0,590.1811,nan,548.144881320713,nan,15.069013802760553,6.373274654930986,0.38239696860885547,30.138027605521106,1.808283970201198,2.7005401080216043,13.772754550910182,3.5378508804896818,3.476778,1.864612023987832,7.738895,2.7818869495362315,24.312544072509706,24.989015273635914,23.44378908909555,24.554637781928836,52.162481,7.222359794416227,99.292753,9.964574903125571,22.199928938796447,24.346626738208393,21.501030657241998,23.99717759743117,97.155461,9.856746978592886,181.295336,13.46459564933162,20.977954394235017,23.462288415272365,20.300655857338427,23.12363914682407,207.693252,14.411566604640871,403.250772,20.081104850082326,20.475261902373667,23.37203988542355,19.754879849740533,23.011848859106983,262.123844,16.190239158208875,511.07152,22.60689098483027,20.183950803300867,23.207083963529467,19.459012923480458,22.84461502361926,376.598132,19.406136452163786,729.824606,27.01526616563309,20.01262137263779,23.232469074513872,19.294270522659588,22.873293649524776,268.290725,16.37958256488852,524.059578,22.89234758603844,19.87471305644614,22.910470130276437,19.147775547115863,22.5470013756113
735,3.4685621937569016,-30.36653326298832,1246,1912,1241.8001220525898,1913.1094337031082,None,1183,1307,1869,1954,5913.0,18.987319613793364,14.114292594247885,13.448058889635451,0.668898653995352,0.005162754,0.37941712,0.0,289.11304,nan,330.08997514858606,nan,51.75115023004601,22.56131226245249,1.3536804679090129,93.61265673129286,5.616766591060305,10.338067613522703,40.80496099219844,2.981367993953591,30.576635,5.529614362683893,65.160506,8.07220577041988,21.95201225223351,23.808749363497817,21.13052535441885,23.398005914590488,134.502515,11.59752193358564,270.656389,16.451637881986098,21.171498524907914,23.83241153126413,20.412278829321483,23.452801683470913,115.834822,10.762658686402723,227.087146,15.069410937392343,20.787024597220206,23.36682351676496,20.0561410558381,23.001381746073907,179.415817,13.394618956879661,353.219476,18.794134084868077,20.63416605078601,23.45149195962972,19.89870626366901,23.083762066071223,186.588612,13.659744214296255,365.318886,19.11331698057666,20.55300428858238,23.391610706170223,19.823536812147182,23.026876967952624,236.583993,15.381287104790678,464.77062,21.55853937538441,20.517353382834106,23.484835079612033,19.784220109470212,23.118268442930088,155.273119,12.460863493353902,305.960007,17.491712523363745,20.468486511991376,23.207356858049057,19.73206554864075,22.839146376373744
124,3.488442761168151,-30.391315789051127,217,425,217.25302886054394,423.6107431479555,None,186,246,368,478,5110.0,17.94252356815107,9.02844304261198,87.43602067896659,0.8641776037123635,0.0057564448,1.1041179,0.0,441.5503,nan,445.0104757871079,nan,43.84916983396679,20.273254650930184,1.2163968355503159,59.21299932884303,3.5527845058535235,10.568513702740548,33.12822564512903,2.4809213038457933,12.151008,3.4858295999661255,30.871256,5.556190781461702,22.95395570777003,24.309721091266077,21.941600726877038,23.80354360081958,91.461269,9.563538518770132,209.924282,14.488763991452135,21.590231480612385,24.041778009116364,20.688167846492078,23.59074619205621,106.647204,10.3270133146036,226.086523,15.03617381516987,20.876748751527035,23.411685593918374,20.060935749167868,23.00377909273879,197.214188,14.043296906353579,407.34879,20.182883589814416,20.531472479023606,23.40014517374852,19.743901791952542,23.00635983021299,235.352649,15.341207546995772,476.792495,21.835578650450277,20.300919396633056,23.265568260195558,19.534393596932535,22.8823053603453,319.61721,17.87784131264175,640.700408,25.312060524579977,20.190741386027227,23.321529081208595,19.435679275009917,22.94399802569994,220.287254,14.842077145736711,439.713459,20.9693456979468,20.08875378099387,23.0174904925503,19.3383028067167,22.64226500541172
343,3.488788773536045,-30.379399095535156,199,1140,198.40429275012372,1140.130024074241,None,145,237,1093,1177,5048.0,9.688427370295763,8.510543748345581,21.36852645871953,0.47788271406906097,0.0054081753,11.836523,0.0,849.25366,nan,798.6052093150608,nan,19.307061412282458,7.259051810362073,0.4355436659409337,38.614122824564916,2.3168503341024667,2.873374674934987,15.727945589117825,3.691398691729757,8.022163,2.832342316881913,15.708011,3.963333319315952,23.40475776966533,24.53512212221373,22.67518348294697,24.170334978854548,112.741798,10.617994066677566,213.567871,14.613961509460738,21.363112146010508,23.928218341815423,20.66948474183356,23.58140463972695,165.374113,12.859786662305094,312.105909,17.666519436493427,20.40045361675602,23.173538026532867,19.710867458560188,22.82874494743495,338.822798,18.40713986473727,662.757055,25.74406834593165,19.943886307121254,23.106352087797344,19.215431969817217,22.742124919145326,425.850739,20.636151264225603,836.153536,28.91631954450635,19.657073610670462,22.943645367214263,18.924502047040715,22.57735958539939,595.380054,24.40041093916248,1169.693883,34.20078775408543,19.515331073567662,22.98382392497881,18.782136229543156,22.617226502966556,418.633045,20.460524064647025,825.687746,28.734782859802507,19.391643437609815,22.668935320858278,18.65418760586654,22.300207404986637
656,3.4628804273621547,-30.38926624067024,1540,548,1539.4743407576275,547.5644781534013,None,1497,1578,502,583,4725.0,12.935424720926806,12.111645025952818,-24.358243894083014,0.35115860183238545,0.0057213022,0.97007966,0.0,336.6096,nan,341.06433315749257,nan,31.00140028005601,14.294058811762353,0.8576446261429497,42.47657294128377,2.5485976376481356,7.193438687737547,23.66873374674935,2.5861923896382244,14.223924,3.771461785568031,29.648863,5.445076950787748,22.782937916889974,24.224212195826052,21.985466366455267,23.825476420608698,86.535076,9.302423125186255,179.213566,13.387067117184406,21.650344089030398,24.07183431332537,20.85989733379245,23.676610935706396,91.095569,9.544399876367294,182.508378,13.509566166239388,21.047879304131065,23.497250870220387,20.293415422744157,23.120018929526935,157.206377,12.53819672042196,314.892704,17.74521636948955,20.777642470962117,23.523230169717777,20.02341137287801,23.14611462067572,181.437133,13.469860170024038,360.143379,18.977443953283064,20.583401686977645,23.406809405367852,19.83902853634139,23.034622830049727,244.393341,15.633084820341761,482.11924,21.95721384875595,20.482093355180048,23.467205065785006,19.74443061819115,23.098373697290555,166.202031,12.891936665993981,328.058115,18.11237463724732,20.394636387635973,23.170431795871355,19.656350241259275,22.801288722683005
