sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.1,50,1,15982.109835445623,79.71932279635051,31.41064769740394,64.07011469049148,49.74511951315037,69.48147011783308,1.5478930481712825,0.7255926012787439,0.17736082340457393,0.2,1.0185664155963943,78.2662,49.7451,79.71932279635051,15822.288737078048,31.4106,64.0701,49.7451,69.4815,1.5478958476857798,0.7255943869597535,0.2,2,78.2662,50.0,156.5324,15982.109835445623,31.568899999999996,64.4705,50.0,70.05579999999999,1.5505079448593249,0.7323704625616722
0.11,50,1,16086.364138549168,80.88330475984728,31.38370915840082,64.32232712103834,49.743490210390455,69.9594776202488,1.5582873898845584,0.7405515203867087,0.19455364920934065,0.2,1.023931324965247,78.9929,49.7435,80.88330475984728,15925.50049716075,31.383699999999997,64.3223,49.7435,69.95949999999999,1.5582871079785632,0.7405517876820672,0.2,2,78.9929,50.0,157.9858,16086.364138549168,31.5419,64.7364,50.0,70.5632,1.5613034701991277,0.7480413161800497
0.12,50,1,16204.194650617592,82.05739947551315,31.35043785618204,64.58502813932263,49.74164563088789,70.44822590703697,1.5694412117311107,0.7557495579677559,0.2116579128254478,0.2,1.0294983260463195,79.7062,49.7416,82.05739947551315,16042.15270411112,31.350399999999997,64.585,49.7416,70.4482,1.5694428877240665,0.7557507514359412,0.2,2,79.7062,50.0,159.4124,16204.194650617592,31.508499999999998,65.0129,50.0,71.0812,1.5728590514336847,0.763923733312279
0.13,50,1,16333.637773276883,83.23942078074488,31.310950037249352,64.8557908657461,49.739616515980835,70.94494500337454,1.581262571990409,0.7710951188388581,0.2286779291401143,0.2,1.0352453598416138,80.4055,49.739599999999996,83.23942078074488,16170.301395535875,31.310999999999996,64.8558,49.739599999999996,70.9449,1.5812594128127846,0.7710944624167381,0.2,2,80.4055,50.0,160.811,16333.637773276883,31.468899999999998,65.2976,50.0,71.6071,1.5850782840583881,0.7799304067550668
0.14,50,1,16472.887100168995,84.427723702432,31.265505123609106,65.13270644960996,49.737431276313124,71.44750649385631,1.5936683760697106,0.7865186225435438,0.24561789998398656,0.2,1.0411568794594668,81.0903,49.73740000000001,84.427723702432,16308.158229159237,31.265500000000003,65.1327,49.73740000000001,71.4475,1.5936685168931515,0.7865197906627529,0.2,2,81.0903,50.00000000000001,162.1806,16472.887100168995,31.4233,65.58840000000001,50.00000000000001,72.1388,1.597876224700692,0.7959945469595974
0.15,50,1,16620.340297201645,85.6210726588484,31.214456230813287,65.41427255890703,49.735115197343596,71.95426948061639,1.6065837121779682,0.801967200738708,0.2624751338403827,0.2,1.0472193465155308,81.7604,49.7351,85.6210726588484,16454.136894221672,31.2145,65.41430000000001,49.7351,71.9543,1.6065815782483104,0.8019687852954526,0.2,2,81.7604,50.00000000000001,163.5208,16620.340297201645,31.3721,65.88380000000001,50.00000000000001,72.67450000000001,1.61117524740751,0.81206024087018
0.16,50,1,16774.606132480552,86.81854170525153,31.158211313666595,65.6993040432408,49.73269028994237,72.46396428364147,1.619941253603106,0.8174006812687111,0.2792550938036397,0.2,1.0534210880104486,82.4158,49.73270000000001,86.81854170525153,16606.86007114695,31.1582,65.69930000000001,49.73270000000001,72.46400000000001,1.6199419084373414,0.8174013275843279,0.2,2,82.4158,50.00000000000001,164.8316,16774.606132480552,31.3157,66.18270000000001,50.00000000000001,73.21310000000001,1.6249117839986347,0.8280939593423233
0.17,50,1,16934.49196628952,88.01943951407402,31.09720413669353,65.98686302501594,49.73017546213989,72.97560501395785,1.6336806909450958,0.8327885635115233,0.2959592044115597,0.2,1.0597512243331846,83.0567,49.7302,88.01943951407402,16765.147046618767,31.0972,65.9869,49.7302,72.9756,1.6336821965637816,0.8327873428679621,0.2,2,83.0567,50.00000000000001,166.1134,16934.49196628952,31.2546,66.4842,50.00000000000001,73.7536,1.6390225108161114,0.8440660962812184
0.18,50,1,17098.98304445244,89.22325305450813,31.031873494949526,66.27620478577805,49.72758682939826,73.48842383891989,1.647748175246928,0.8481077422782802,0.31259146318840314,0.2,1.066201417182498,83.6833,49.7276,89.22325305450815,16927.993214000446,31.0319,66.2762,49.7276,73.48840000000001,1.6477461637410866,0.8481064627486091,0.2,2,83.6833,50.00000000000001,167.3666,17098.98304445244,31.1892,66.7873,50.00000000000001,74.29520000000001,1.6534482568736633,0.8599537590439035
0.19,50,1,17267.219595455736,90.42960525907458,30.962648972176016,66.56673604156865,49.72493806578881,74.00182141167804,1.6620957681231,0.8633407915687732,0.32914988709194104,0.2,1.0727665261582096,84.2957,49.724900000000005,90.42960525907458,17094.547399499806,30.962600000000002,66.56670000000001,49.724900000000005,74.0018,1.6620980269305843,0.8633418255967826,0.2,2,84.2957,50.00000000000001,168.5914,17267.219595455736,31.1198,67.0917,50.00000000000001,74.83730000000001,1.6681599957664814,0.8757405309142383
