sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.02,50,1,15707.963528967697,71.40516830043747,31.464265434647732,62.93059555384164,49.749371851657564,66.78837319393094,1.505221223141862,0.6395663180461293,0.0363436477752976,0.2,0.9888638762657644,72.2093,49.74937185165756,71.40516830043747,15550.883893678014,31.46426543464772,62.93059555384162,49.74937185165756,66.78837319393094,1.505221223141862,0.6395663180461297,0.2,2,72.2093,49.74937185165756,144.4186,15550.883893678014,31.46426543464772,62.93059555384162,49.74937185165756,66.78837319393094,1.505221223141862,0.6395663180461297
0.03,50,1,15708.047175054557,72.2551772778192,31.46426040295366,62.950235415439636,49.7493706257674,66.91953762642379,1.5058991543900548,0.6438267034354574,0.05433778215930992,0.2,0.9902622366100675,72.9657,49.7493706257674,72.2551772778192,15550.966703304013,31.464260402953652,62.950235415439636,49.7493706257674,66.91953762642379,1.5058991543900553,0.6438267034354574,0.2,2,72.9657,49.7493706257674,145.9314,15550.966703304013,31.464260402953652,62.950235415439636,49.7493706257674,66.91953762642379,1.5058991543900553,0.6438267034354574
0.04,50,1,15709.465445009302,73.19186495159643,31.46414509612959,63.00569596523017,49.74934938853548,67.13679713322007,1.5078193851518464,0.6508660659775783,0.07221964368253292,0.2,0.9927470540021706,73.7266,49.74934938853548,73.19186495159643,15552.37079055921,31.46414509612959,63.00569596523017,49.74934938853548,67.13679713322007,1.5078193851518464,0.6508660659775783,0.2,2,73.7266,49.74934938853548,147.4532,15552.37079055921,31.46414509612959,63.00569596523017,49.74934938853548,67.13679713322007,1.5078193851518464,0.6508660659775783
0.05,50,1,15716.439267926888,74.1911342106297,31.463416981643544,63.10308651247255,49.74924351878205,67.42440748041399,1.5112235804570961,0.6601532865030911,0.08999417782933855,0.2,0.9959731325034762,74.4911,49.74924351878205,74.1911342106297,15559.274875247616,31.463416981643537,63.10308651247254,49.74924351878205,67.42440748041398,1.5112235804570961,0.6601532865030907,0.2,2,74.4911,49.74924351878205,148.9822,15559.274875247616,31.463416981643537,63.10308651247254,49.74924351878205,67.42440748041398,1.5112235804570961,0.6601532865030907
0.06,50,1,15734.83617139153,75.23813078580307,31.461041546469026,63.240135600013595,49.74896162694044,67.76756106372022,1.5160984811940974,0.6711891765451126,0.10766356884316473,0.2,0.9997545834624878,75.2566,49.74896162694044,75.23813078580307,15577.487809677614,31.461041546469026,63.240135600013595,49.74896162694044,67.76756106372022,1.5160984811940974,0.6711891765451126,0.2,2,75.2566,49.74896162694044,150.5132,15577.487809677614,31.461041546469026,63.240135600013595,49.74896162694044,67.76756106372022,1.5160984811940974,0.6711891765451126
0.07,50,1,15769.31121006319,76.32197020211765,31.455701781583027,63.41125854727115,49.74842990338771,68.15384485463343,1.5223349703664284,0.6835549132640346,0.12523339778541492,0.2,1.0039735674753274,76.0199,49.74842990338771,76.32197020211765,15611.618097962555,31.455701781583027,63.411258547271146,49.74842990338771,68.15384485463345,1.522334970366428,0.6835549132640351,0.2,2,76.0199,49.74842990338771,152.0398,15611.618097962555,31.455701781583027,63.411258547271146,49.74842990338771,68.15384485463345,1.522334970366428,0.6835549132640351
0.08,50,1,15822.118616440282,77.43422520236713,31.446134579471718,63.610258025045866,49.7476115403318,68.57323129211778,1.5297994424746195,0.6969119011968774,0.14270602041121588,0.2,1.0085496745461204,76.7778,49.7476115403318,77.43422520236713,15663.897430275878,31.446134579471714,63.610258025045866,49.7476115403318,68.57323129211778,1.5297994424746195,0.6969119011968774,0.2,2,76.7778,49.7476115403318,153.5556,15663.897430275878,31.446134579471714,63.610258025045866,49.7476115403318,68.57323129211778,1.5297994424746195,0.6969119011968774
0.09,50,1,15893.431627152255,78.56835272202333,31.43133929265219,63.83146835634727,49.7465024461867,69.0178165985314,1.5383597407753702,0.7109933207061443,0.16008007484932876,0.2,1.013428208154074,77.5273,49.74650244618671,78.56835272202333,15734.49731088073,31.431339292652183,63.83146835634725,49.74650244618671,69.01781659853137,1.5383597407753697,0.7109933207061434,0.2,2,77.5273,49.74650244618671,155.0546,15734.49731088073,31.431339292652183,63.83146835634725,49.74650244618671,69.01781659853137,1.5383597407753697,0.7109933207061434
0.1,50,1,15982.109835445623,79.71932279635051,31.41064769740394,64.07011469049148,49.74511951315037,69.48147011783308,1.5478930481712825,0.7255926012787439,0.17736082340457393,0.2,1.0185664155963943,78.2662,49.74511951315037,79.71932279635051,15822.288737091167,31.41064769740394,64.07011469049148,49.74511951315037,69.48147011783308,1.5478930481712825,0.7255926012787439,0.2,2,78.2662,49.74511951315037,156.5324,15822.288737091167,31.41064769740394,64.07011469049148,49.74511951315037,69.48147011783308,1.5478930481712825,0.7255926012787439
0.11,50,1,16086.364138549168,80.88330475984728,31.38370915840082,64.32232712103834,49.743490210390455,69.9594776202488,1.5582873898845584,0.7405515203867087,0.19455364920934065,0.2,1.023931324965247,78.9929,49.743490210390455,80.88330475984728,15925.500497163677,31.38370915840082,64.32232712103834,49.743490210390455,69.9594776202488,1.5582873898845584,0.7405515203867087,0.2,2,78.9929,49.743490210390455,157.9858,15925.500497163677,31.38370915840082,64.32232712103834,49.743490210390455,69.9594776202488,1.5582873898845584,0.7405515203867087
