sersic_n,sersic_r_eff,sersic_amplitude,sersic_total_flux_99,sersic_r_99,sersic_r_20,sersic_r_80,sersic_r_50,sersic_r_90,sersic_c2080,sersic_c5090,sersic_petro_0502,corr_eta,corr_epsilon,corr_r_petrosian,corr_r_half_light,corr_r_total_flux,corr_total_flux,corr_r_20,corr_r_80,corr_r_50,corr_r_90,corr_c2080,corr_c5090,uncorr_eta,uncorr_epsilon,uncorr_r_petrosian,uncorr_r_half_light,uncorr_r_total_flux,uncorr_total_flux,uncorr_r_20,uncorr_r_80,uncorr_r_50,uncorr_r_90,uncorr_c2080,uncorr_c5090
0.5,50,1,22661.80070913597,128.87839413352714,28.210186910368325,75.25530822674561,49.63982038200101,89.40917122819616,2.130655876032697,1.2777593393531057,0.8145195523176445,0.2,1.3156777093929732,97.9559,49.63980000000001,128.87839413352714,22435.18270204432,28.2102,75.2553,49.63980000000001,89.40920000000001,2.130654631081029,1.2777609297331518,0.2,2,97.9559,49.999100000000006,195.9118,22661.259070885655,28.369,76.1871,49.999100000000006,91.12650000000001,2.145187077626056,1.3034125159128287
1.0,50,1,29871.236853659997,197.76458942879003,24.39461142123563,87.64198561276176,49.52610402068511,112.6427448420988,2.7770915183788345,1.784345295986808,1.5267230021872105,0.2,1.8325959266903584,107.915,49.52610000000001,197.76458942879003,29572.52448512328,24.3946,87.64200000000001,49.52610000000001,112.6427,2.777092891500987,1.7843446078292982,0.2,2,107.915,49.72070000000001,215.83,29695.414232465737,24.462500000000002,88.27810000000001,49.72070000000001,113.94300000000001,2.7867606932548936,1.8007520775043095
1.5,50,1,35731.987590431934,278.6718950797436,21.579338368307592,99.01889378287274,49.43381924979624,135.47528681769617,3.3083997264170657,2.189179569266324,2.1913958632384856,0.2,2.5163270298092795,110.7455,49.433800000000005,278.6718950797436,35374.66771452759,21.5793,99.0189,49.433800000000005,135.4753,3.30840372366384,2.1891806261427806,0.2,2,110.7455,48.581,221.491,34830.48022567201,21.3244,95.8395,48.581,128.73350000000002,3.263338594752509,2.116125634165823
2.0,50,1,40777.201204449535,374.16256421407724,19.39340640870295,109.94109448823895,49.35450516784768,158.6921514109962,3.767529787556824,2.5361432298730757,2.827569162278705,0.2,3.4083254922533204,109.779,49.35450000000001,374.16256421407724,40369.429192405,19.3934,109.9411,49.35450000000001,158.6922,3.7675306140010836,2.536144122115301,0.2,2,109.779,46.717000000000006,219.558,38656.913819184,18.6916,99.2219,46.717000000000006,135.72560000000001,3.624805302643649,2.315934120308807
2.5,50,1,45270.3762048918,486.4568769386191,17.624603660120233,120.658925635355,49.2839731200711,182.65392324540147,4.177200472814801,2.8446164643896226,3.444422927192299,0.2,4.564096068793256,106.5834,49.284000000000006,486.4568769386191,44817.672442842864,17.6246,120.6589,49.284000000000006,182.65390000000002,4.177200462412888,2.8446150036972098,0.2,2,106.5834,44.401500000000006,213.1668,41575.107827562126,16.4429,99.51830000000001,44.401500000000006,137.2174,3.9096226654797905,2.4500577203197915
3.0,50,1,49359.37632895836,617.7904062267983,16.151169792652308,131.30824620438653,49.21987148991677,207.5700612340575,4.550440090105764,3.1251211899502755,4.047195737833241,0.2,6.053724021416663,102.0513,49.2199,617.7904062267983,48865.78256566877,16.1512,131.3082,49.2199,207.57010000000002,4.550435264737703,3.1251203376943124,0.2,2,102.0513,41.83670000000001,204.1026,43832.110820154405,14.5024,97.67750000000001,41.83670000000001,135.11260000000001,4.141773280239031,2.545692152007385
3.5,50,1,53136.33267790076,770.5224366043533,14.897502056607943,141.97241099248026,49.16073471176278,233.58329343309,4.89545251793155,3.384117063464486,4.639183263402362,0.2,7.964821803071026,96.7407,49.160700000000006,770.5224366043533,52604.96935112175,14.8975,141.97240000000002,49.160700000000006,233.5833,4.89545264957414,3.384118657762082,0.2,2,96.7407,39.160500000000006,193.4814,45587.51932683545,12.8165,94.4051,39.160500000000006,130.7124,4.336130073745782,2.6173428027535097
4.0,50,1,56663.084308954356,947.184349086631,13.813496152264381,152.707131295596,49.10557897062916,260.80259476195096,5.21777853833327,3.62590536028857,5.222610531065312,0.2,10.40650361285487,91.0185,49.1056,947.184349086631,56096.4534658648,13.813500000000001,152.7071,49.1056,260.8026,5.217777488453167,3.625904473972436,0.2,2,91.0185,36.4656,182.037,46950.219076570014,11.3445,90.2085,36.4656,124.88660000000002,4.5023105095844995,2.6731623922564554
4.5,50,1,59983.466555984036,1150.5090894111704,12.86422910900066,163.55210067777614,49.053706827439456,289.3183177786059,5.521361802272499,3.8535205004708084,5.799050132826129,0.2,13.514350463644515,85.1324,49.0537,1150.5090894111704,59383.63189042419,12.864199999999999,163.5521,49.0537,289.31829999999997,5.521366706857157,3.8535206692658095,0.2,2,85.1324,33.8145,170.2648,47997.99224463696,10.0544,85.4508,33.8145,118.2226,4.646799869828557,2.7179876810573598
5.0,50,1,63129.87105009771,1383.4537991640427,12.024380156834555,174.53705908016062,49.00460289317589,319.20996282941434,5.809124778346634,4.069197816766051,6.369718731508348,0.2,17.45643378653914,79.2518,49.004599999999996,1383.4537991640427,62498.57233959674,12.024399999999998,174.53709999999998,49.004599999999996,319.2099999999999,5.809121703986503,4.069198197825635,0.2,2,79.2518,31.248399999999997,158.5036,48788.54988607762,8.920399999999999,80.3916,31.248399999999997,111.1228,4.774131716496512,2.754876953519
